Year,Month,Month number,Ontime%,Delayed%,Cancelled%
2008,September,9,84.88,13.15,1.83
2008,October,10,86.04,13.22,0.58
2008,November,11,83.33,15.66,0.85
2008,December,12,65.34,30.95,3.26
2009,January,1,77.02,20.41,2.33
2009,February,2,82.6,15.99,1.25
2009,March,3,78.4,19.27,2.1
2009,April,4,79.14,19.09,1.48
2009,May,5,80.49,18.41,0.88
2009,June,6,76.12,22.04,1.49
2009,July,7,77.6,20.93,1.18
2009,August,8,79.68,19.07,0.99
2009,September,9,86.17,13.07,0.57
2009,October,10,77.27,21.54,0.99
2009,November,11,88.59,10.74,0.54
2009,December,12,71.99,24.94,2.78
2010,January,1,78.69,18.58,2.46
2010,February,2,74.66,19.66,5.44
2010,March,3,79.96,18.3,1.5
2010,April,4,85.31,13.83,0.69
2010,May,5,79.94,18.55,1.24
2010,June,6,76.42,21.75,1.5
2010,July,7,76.69,21.53,1.43
2010,August,8,81.65,17.15,0.99
2010,September,9,85.07,13.83,0.9
2010,October,10,83.77,15.1,0.97
2010,November,11,83.16,15.96,0.72
2010,December,12,72.04,24.06,3.65
2011,January,1,76.3,19.64,3.87
2011,February,2,74.54,20.35,4.87
2011,March,3,79.24,19.28,1.27
2011,April,4,75.5,22.19,2
2011,May,5,77.06,20.58,2.07
2011,June,6,76.92,21.03,1.76
2011,July,7,77.84,20.19,1.69
2011,August,8,79.34,17.85,2.54
2011,September,9,83.88,15.08,0.82
2011,October,10,85.54,13.52,0.77
2011,November,11,85.3,13.86,0.68
2011,December,12,84.37,14.7,0.75
2012,January,1,83.75,14.59,1.46
2012,February,2,86.16,12.69,1
2012,March,3,82.19,16.58,1.04
2012,April,4,86.26,12.6,0.98
2012,May,5,83.38,15.52,0.86
2012,June,6,80.66,17.97,1.1
2012,July,7,76.01,22.27,1.41
2012,August,8,79.15,19.31,1.31
2012,September,9,83.3,15.72,0.81
2012,October,10,80.21,16.8,2.84
2012,November,11,85.73,13.08,1.05
2012,December,12,76.56,21.6,1.61
2013,January,1,80.98,17.31,1.48
2013,February,2,79.62,17.79,2.41
2013,March,3,79.79,18.42,1.62
2013,April,4,77.3,20.75,1.76
2013,May,5,79.42,19.19,1.14
2013,June,6,71.94,25.93,1.78
2013,July,7,73.07,24.94,1.68
2013,August,8,78.77,20.01,0.98
2013,September,9,83.83,15.1,0.86
2013,October,10,84.05,15.19,0.61
