Rank	Name	Company	One_Year_Pay	Five_Year_Pay	Shares_Owned	Age	Efficiency	Log_Pay
456	John R Koelmel	First Niagara Financial Group	2.07	9.2	2.9	58		6.3159703455
457	Craig Herkert	Supervalu	2.02		1.9	52		6.3053513694
458	William J DeLaney	Sysco	2.01	5.163	3	56		6.3031960574
459	Louis J D'Ambrosio	Sears Holdings	2		8.4	48		6.3010299957
460	Thomas M Rutledge	Charter Communications	2		0	59		6.3010299957
460	Scott Thompson	Yahoo	2		13.5	54		6.3010299957
462	Daniel S Fulton	Weyerhaeuser	1.93	7.01	4.3	63		6.285557309
463	Brian P MacDonald	Sunoco	1.896		0.9	46		6.277838333
464	W Douglas Parker	US Airways Group	1.825	21.14	4.5	50	188	6.2612628688
465	Marc R Benioff	Salesforce.com	1.805	3.15	1516.1	47	2	6.2564772062
466	Moshe Gavrielov	Xilinx	1.77	4.312	2.1	57		6.2479732664
467	Denise L Ramos	ITT	1.735		5.5	55		6.2392994791
468	Daniel F Akerson	General Motors	1.7		6.5	63		6.2304489214
469	Beth E Mooney	KeyCorp	1.695		3.4	56		6.2291697025
470	Jeffrey P Bezos	Amazon.com	1.685	7.31	16036.5	48	1	6.2265999052
471	Marcel H M Smits	Sara Lee	1.67		0.6	50		6.2227164711
472	Paul Maritz	VMware	1.645	4.153	4.6	57		6.2161659023
473	Richard L Carrion	Popular	1.61	5.9	5.1	59	182	6.206825876
474	Ian M Cumming	Leucadia National	1.605	6.19	579	71	79	6.2054750367
475	Alan S Armstrong	Williams Cos	1.485		5.9	50		6.1717264537
476	William H Kucheman	Boston Scientific	1.466		1	62		6.1661339703
477	Martin Mucci	Paychex	1.45		2.1	52		6.1613680022
478	Steven J Johnston	Cincinnati Financial	1.44		1.1	52		6.1583624921
479	Steven A Ballmer	Microsoft	1.38	6.64	10920.7	56	152	6.1398790864
480	Thomas Peterffy	Interactive Brokers Group	1.35	6.55	0	67		6.1303337685
481	John T Standley	Rite Aid	1.32		5.1	58		6.1205739312
482	Thomas W Horton	AMR	1.256		0.5	51		6.0989896394
483	Curt R Hartman	Stryker	1.236		1.2	48		6.0920184708
484	Thomas M Marra	Symetra Financial	1.19		2.8	53		6.0755469614
485	Harris H Simmons	Zions Bancorporation	1.175	8.33	59.2	57	160	6.0700378666
486	Wendy C Waugaman	American Equity Investment Life Holding	0.915		1.7	51		5.9614210941
487	Joseph P Clayton	DISH Network	0.9		0.2	62		5.9542425094
488	Gary S Guthart	Intuitive Surgical	0.86	8.283	20.1	46		5.9344984512
489	Michael C Jennings	HollyFrontier	0.78		18.9	46		5.8920946027
490	John P Mackey	Whole Foods Market	0.76	2.68	94.2	58	41	5.8808135923
491	Joseph W Brown	MBIA	0.7	27.54	42.6	63		5.84509804
492	Rodney C Sacks	Monster Beverage	0.685	65.81	24.6	62	12	5.8356905715
493	Jeffry E Sterba	American Water Works	0.68		2.2	57		5.8325089127
494	John A Thain	CIT Group	0.5		12.4	57		5.6989700043
495	Warren E Buffett	Berkshire Hathaway	0.49	1.9	44486.8	81	33	5.69019608
496	Andrew D Mason	Groupon	0.185		775.4	32		5.2671717284
497	Richard D Fairbank	Capital One Financial	0.16	92.81	121.7	61	186	5.2041199827
498	Malon Wilkus	American Capital Agency	0		0	60		
498	Matthew J Lambiase	Chimera Investment	0		1.6	45		
498	Larry Page	Google	0	0.003	16252.9	39		
