District Name,School Name,Enrollment,Average Score Math
Wilmot UHS,Wilmot Hi,286,22.5061
Rhinelander,Rhinelander Hi,276,22.4956
Manitowoc,Lincoln Hi,449,22.0733
Campbellsport,Campbellsport Hi,134,22.4848
Merrill Area,Merrill Hi,285,22.4733
Ellsworth Community,Ellsworth Hi,163,22.4583
Monroe,Monroe Hi,201,22.4295
Arcadia,Arcadia Hi,94,22.4098
Fort Atkinson,Fort Atkinson Hi,253,22.4088
La Crosse,Logan Hi,257,22.3985
Madison Metropolitan,East Hi,459,23.0081
Cochrane-Fountain City,Cochrane-Fountain City Hi,47,22.3714
Green Bay Area Public,Southwest Hi,355,24.2053
Kenosha,Lakeview Technology Acad,69,22.3617
Whitehall,Whitehall Hi,77,22.3611
Oostburg,Oostburg Hi,73,22.3559
Argyle,Argyle Hi,28,22.3529
Cassville,Cassville Hi,32,22.3333
West Salem,West Salem Hi,133,22.3295
Appleton Area,East Hi,404,22.383
Watertown Unified,Watertown Hi,332,22.7922
Menomonie Area,Menomonie Hi,271,22.2874
Sun Prairie Area,Sun Prairie Hi,434,22.698
Darlington Community,Darlington Hi,79,22.2727
Tomahawk,Tomahawk Hi,143,22.2714
Belleville,Belleville Hi,70,22.2609
Lake Geneva-Genoa City UHS,Badger Hi,298,22.2591
Wild Rose,Wild Rose Hi,55,22.25
Pepin Area,Pepin Hi,19,22.25
Milton,Milton Hi,280,22.2421
Oconto Unified,Oconto Hi,89,22.2368
Evansville Community,Evansville Hi,127,22.2317
West Allis-West Milwaukee,Nathan Hale Hi,374,22.192
Valders Area,Valders Hi,85,22.1803
Prescott,Prescott Hi,92,22.1724
Bowler,Bowler Hi,26,22.1667
Auburndale,Auburndale Hi,77,22.1522
Marshall,Marshall Hi,88,22.1429
Owen-Withee,Owen-Withee Hi,44,22.1429
Holmen,Holmen Hi,272,22.1381
Antigo Unified,Antigo Hi,265,22.1371
Wisconsin Rapids,Lincoln Hi,474,21.8553
Northwood,Northwood Sch,33,22.1304
Osceola,Osceola Hi,146,22.1176
Janesville,Craig Hi,390,21.6357
Fond du Lac,Fond du Lac High School,533,22.8411
Denmark,Denmark Hi,143,22.1014
Lake Mills Area,Lake Mills Hi,104,22.0959
Black Hawk,Black Hawk Hi,33,22.0952
Stockbridge,Stockbridge Hi,22,22.0769
Sheboygan Area,South Hi,385,22.2806
Waukesha,South Hi,299,22.0567
Elkhart Lake-Glenbeulah,Elkhart Lake Hi,34,22.05
Cuba City,Cuba City Hi,68,22.0476
New Lisbon,New Lisbon Jr/Hi,55,22.0417
River Valley,River Valley Hi,134,22.0375
Central/Westosha UHS,Central Hi,327,21.8878
Northern Ozaukee,Ozaukee Hi,66,22.0222
Burlington Area,Burlington Hi,391,22.0089
Melrose-Mindoro,Melrose-Mindoro Hi,62,22
Bangor,Bangor Mid/Hi,57,22
Sheboygan Area,George D Warriner Hi,33,22
Turtle Lake,Turtle Lake Hi,33,22
Baldwin-Woodville Area,Baldwin-Woodville Hi,118,21.987
Cameron,Cameron Hi,63,21.9762
Markesan,Markesan Hi,57,21.9655
West Bend,East Hi,244,21.9562
Sparta Area,Sparta Hi,161,21.9444
Beaver Dam Unified,Beaver Dam Hi,261,21.944
Portage Community,Portage Hi,189,21.8972
Green Bay Area Public,East Hi,357,22.0345
Niagara,Niagara Hi,43,21.88
Gilman,Gilman Hi,38,21.875
Two Rivers Public,Two Rivers Hi,181,21.8621
Spencer,Spencer Jr Hi/Hi,50,21.8571
Oak Creek-Franklin Joint,Oak Creek Hi,478,21.8185
West De Pere,West De Pere Hi,211,21.848
Webster,Webster Hi,64,21.8437
Wisconsin Dells,Wisconsin Dells Hi,166,21.8421
North Crawford,North Crawford Hi,36,21.8261
Superior,Superior Hi,324,22.3267
Oconto Falls Public,Oconto Falls Hi,142,21.814
Kickapoo Area,Kickapoo Hi,29,21.8125
East Troy Community,East Troy Hi,159,21.7879
Colby,Colby Hi,77,21.7857
Sevastopol,Sevastopol Hi,55,21.7692
Neillsville,Neillsville Hi,74,21.7619
Chippewa Falls Area Unified,Chippewa Falls Hi,379,22.1029
Bonduel,Bonduel Hi,67,21.7568
Northland Pines,Northland Pines Hi,127,21.75
Galesville-Ettrick-Trempealeau,Gale-Ettrick-Tremp Hi,101,21.7288
Cumberland,Cumberland Hi,91,21.7234
De Forest Area,De Forest Hi,266,21.7059
Blair-Taylor,Blair-Taylor Mid/Hi,60,21.697
Chilton,Chilton Hi,106,21.6956
Wausaukee,Wausaukee Hi,41,21.6818
Pittsville,Pittsville Hi,57,21.6667
Mineral Point Unified,Mineral Point Hi,73,21.66
Ladysmith,Ladysmith Hi,65,21.6585
Madison Metropolitan,LaFollette Hi,395,21.761
Mishicot,Mishicot Hi,97,21.6346
Big Foot UHS,Big Foot Hi,120,21.6316
Green Bay Area Public,West Hi,281,21.625
Barneveld,Barneveld Hi,34,21.619
Lake Holcombe,Holcombe Hi,36,21.5882
Oakfield,Oakfield Jr/Sr Hi,50,21.5833
Spooner Area,Spooner Hi,126,21.5735
Monona Grove,Monona Grove Hi,245,21.5733
Richland,Richland Center Hi,119,21.5522
Potosi,Potosi Hi,39,21.55
Marion,Marion Hi,48,21.5217
Bloomer,Bloomer Hi,90,21.5167
Jefferson,Jefferson Hi,131,21.5077
Lodi,Lodi Hi,125,21.5063
Durand,Durand Jr/Sr Hi,99,21.5
Elcho,Elcho Hi,29,21.5
Racine Unified,Case Hi,582,21.2051
Rosendale-Brandon,Laconia Hi,80,21.4423
Frederic,Frederic 7-12 Sch,44,21.44
Little Chute Area,Little Chute Hi,146,21.4388
Random Lake,Random Lake Hi,73,21.4318
Menasha Joint,Menasha Hi,278,21.425
Wautoma Area,Wautoma Hi,103,21.4231
Nekoosa,Nekoosa Hi,103,21.421
Waukesha,iQ Acad Wisconsin,231,21.4043
Wonewoc-Union Center,Wonewoc-Center Hi,22,21.4
Tomah Area,Tomah Hi,229,21.3939
New London,New London Hi,214,21.3814
Weyauwega-Fremont,Weyauwega Hi,103,21.3774
Three Lakes,Three Lakes Hi,73,21.3488
Eleva-Strum,Eleva-Strum Hi,45,21.3478
Osseo-Fairchild,Osseo-Fairchild Hi,95,21.34
North Fond du Lac,Horace Mann Hi,100,21.3333
Belmont Community,Belmont Hi,26,21.3333
Edgar,Edgar Hi,54,21.3095
Pecatonica Area,Pecatonica Hi,36,21.2963
Whitewater Unified,Whitewater Hi,149,21.2959
La Farge,La Farge Hi,26,21.2857
Waupaca,Waupaca Hi,231,21.2759
Pardeeville Area,Pardeeville Hi,74,21.275
Shawano,Shawano Hi,295,21.2673
Kenosha,Tremper Hi,475,21.4927
Monticello,Monticello Hi,28,21.25
Brodhead,Brodhead Hi,90,21.2373
Reedsburg,Reedsburg Area Hi,210,21.2308
Peshtigo,Peshtigo Mid/Hi,83,21.2308
Elkhorn Area,Elkhorn Area Hi,250,21.2174
Cudahy,Cudahy Hi,197,21.2159
Manawa,Little Wolf Jr/Sr Hi,70,21.2121
Clayton,Clayton Hi,39,21.2083
Janesville,Parker Hi,372,20.3017
Prairie Farm Public,Prairie Farm Hi,23,21.1818
Clinton Community,Clinton Hi,104,21.125
Boscobel Area,Boscobel Hi,74,21.1212
Rib Lake,Rib Lake Hi,46,21.1071
Marinette,Marinette Hi,174,21.0909
South Milwaukee,South Milwaukee Hi,295,21.0852
Horicon,Horicon Hi,82,21.0789
Gilmanton,Gilmanton Hi,17,21.0769
Chetek-Weyerhaeuser Area,Chetek-Weyerhaeuser Hi,78,21.0714
Deerfield Community,Deerfield Hi,71,21.0652
Shiocton,Shiocton Hi,48,21.0435
Edgerton,Edgerton Hi,165,21.0425
Ashland,Ashland Hi,182,21.0353
Maple,Northwestern Hi,106,21.0167
Rosholt,Rosholt Hi,57,21
Alma Center,Lincoln Hi,49,21
Westby Area,Westby Hi,87,20.975
Grantsburg,Grantsburg Hi,93,20.9592
Rio Community,Rio Mid/Hi Sch,34,20.9524
Parkview,Parkview Hi,84,20.9286
Royall,Royall Mid/Hi,35,20.9231
Elk Mound Area,Elk Mound Hi,87,20.9107
Kiel Area,Kiel Hi,135,20.8823
Mosinee,Mosinee Hi,171,20.8675
Cadott Community,Cadott Hi,61,20.8571
Almond-Bancroft,Almond Hi,29,20.8571
Hustisford,Hustisford Hi,35,20.85
Bruce,Bruce Hi,42,20.8462
Wauzeka-Steuben,Wauzeka Hi,30,20.8462
Madison Metropolitan,Shabazz-City Hi,51,20.8333
Norwalk-Ontario-Wilton,Brookwood Hi,50,20.8333
Greenfield,Greenfield Hi,256,20.8118
Eau Claire Area,North Hi,360,20.805
Racine Unified,The REAL School,20,20.7895
Mayville,Mayville Hi,103,20.7719
Northern Ozaukee,Wisconsin Virtual Learning,47,20.7647
Ithaca,Ithaca Hi,24,20.75
Shell Lake,Shell Lake Jr/Sr Hi,47,20.68
Cambria-Friesland,Cambria Friesland Mid/Hi,43,20.6667
Milwaukee,King International,0,20.6637
Westfield,Westfield Area Hi,85,20.6585
Wittenberg-Birnamwood,Wittenberg-Birnamwood Hi,116,20.6034
Dodgeland,Dodgeland Mid/Hi Sch,65,20.6
Saint Croix Central,Saint Croix Central Hi,88,20.5738
Iowa-Grant,Iowa-Grant Hi,63,20.5714
Wabeno Area,Wabeno Hi,39,20.5556
Green Lake,Green Lake Hi,30,20.55
Elmwood,Elmwood Hi,27,20.4706
Coleman,Coleman Hi,52,20.4615
Somerset,Somerset Hi,120,20.4444
Seneca,Seneca Hi,20,20.3636
Poynette,Poynette Hi,91,20.3461
Abbotsford,Abbotsford Middle/Sr Hi,61,20.3461
Lena,Lena Hi,21,20.3077
Saint Croix Falls,Saint Croix Falls Hi,87,20.3036
Kenosha,Bradford Hi,424,21.2597
Alma,Alma Hi,24,20.3
Kewaunee,Kewaunee Hi,91,20.2826
Hillsboro,Hillsboro Hi,51,20.2759
Princeton,Princeton Sch,29,20.2308
Shullsburg,Shullsburg Hi,34,20.1852
Necedah Area,Necedah Mid/Hi,61,20.1667
New Auburn,New Auburn Jr-Sr Hi,26,20.1667
Flambeau,Flambeau Hi,43,20.1429
Plum City,Plum City Hi,40,20.1364
Delavan-Darien,Delavan-Darien Hi,197,20.1064
Mauston,Mauston Hi,148,20.0847
West Allis-West Milwaukee,Central Hi,324,20.064
Boyceville Community,Boyceville Mid/Hi,56,20.0333
Gillett,Gillett Hi,64,20
De Soto Area,De Soto Hi,36,20
Appleton Area,Valley New School,11,20
Palmyra-Eagle Area,Palmyra-Eagle Hi,94,19.983
Waupun,Waupun Area Sr Hi,144,19.9718
Brown Deer,Brown Deer Hi,185,19.9597
Beloit Turner,Turner Hi,97,19.9286
Solon Springs,Solon Springs Sch,24,19.9091
Black River Falls,Black River Falls Hi,132,19.8571
Riverdale,Riverdale Hi,55,19.84
Beloit,Memorial Hi,415,19.0756
Montello,Montello Jr/Sr Hi,61,19.8077
Crandon,Crandon Hi,45,19.8
Beecher-Dunbar-Pembine,Pembine Hi,25,19.8
Saint Francis,Saint Francis Hi,135,19.7407
Florence County,Florence Hi,52,19.7222
Racine Unified,Park Hi,581,19.7143
South Shore,South Shore Jr/Sr Hi,16,19.6667
Kewaskum,Kewaskum Hi,173,19.62
Johnson Creek,Johnson Creek Hi,53,19.5
Non-district Charter Schools: Veritas Hi,Veritas Hi,44,19.5
Winter,Winter Hi,32,19.5
Unity,Unity Hi,108,19.4783
Luck,Luck Hi,50,19.4722
Birchwood,Birchwood Hi,26,19.4
Thorp,Thorp Hi,65,19.2308
Weston,Weston Hi,29,19.1429
Barron Area,Barron Hi,101,19.1277
Kenosha,Indian Trail Academy,153,19.1263
Grantsburg,Insight School of Wis,119,19.1111
Independence,Independence Hi,38,19.0909
Racine Unified,Horlick Hi,573,19.8122
Siren,Siren Hi,39,19.05
