"I_D"	"FLAG_TSUNAMI"	"YEAR"	"MONTH"	"DAY"	"HOUR"	"MINUTE"	"SECOND"	"FOCAL_DEPTH"	"EQ_MAG_MW"	"EQ_MAG_MS"	"Max.Richter"	"EQ_MAG_MB"	"EQ_MAG_ML"	"EQ_MAG_MFA"	"EQ_MAG_UNK"	"INTENSITY"	"COUNTRY"	"STATE"	"LOCATION_NAME"	"LATITUDE"	"LONGITUDE"	"REGION_CODE"	"DEATHS"	"DEATHS_DESCRIPTION"	"MISSING"	"MISSING_DESCRIPTION"	"INJURIES"	"INJURIES_DESCRIPTION"	"DAMAGE_MILLIONS_DOLLARS"	"DAMAGE_DESCRIPTION"	"HOUSES_DESTROYED"	"HOUSES_DESTROYED_DESCRIPTION"	"HOUSES_DAMAGED"	"HOUSES_DAMAGED_DESCRIPTION"	"TOTAL_DEATHS"	"TOTAL_DEATHS_DESCRIPTION"	"TOTAL_MISSING"	"TOTAL_MISSING_DESCRIPTION"	"TOTAL_INJURIES"	"TOTAL_INJURIES_DESCRIPTION"	"TOTAL_DAMAGE_MILLIONS_DOLLARS"	"TOTAL_DAMAGE_DESCRIPTION"	"TOTAL_HOUSES_DESTROYED"	"TOTAL_HOUSES_DESTROYED_DESCRIPTION"	"TOTAL_HOUSES_DAMAGED"	"TOTAL_HOUSES_DAMAGED_DESCRIPTION"
1467	"Tsu"	1783	3	28	18	55	NA	NA	NA	6.9	6.9	NA	NA	NA	NA	10	"ITALY"	""	"ITALY:  TYRRHENIAN CALABRIA"	38.783	16.467	130	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	NA	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
7507	"Tsu"	1784	1	7	NA	NA	NA	NA	NA	4.1	4.1	NA	NA	NA	NA	6	"ITALY"	""	"ITALY:  IONIAN CALABRIA"	38.317	16.4	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7508	"Tsu"	1784	1	19	NA	NA	NA	NA	NA	4.1	4.1	NA	NA	NA	NA	6	"ITALY"	""	"ITALY:  MESSINA STRAITS"	38.167	15.633	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1469	"Tsu"	1784	3	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MEXICO"	""	"MEXICO:  GUERRERO, ACAPULCO"	16.9	-99.9	150	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
1471	"Tsu"	1784	5	13	12	35	NA	NA	NA	8	8	NA	NA	NA	NA	10	"PERU"	""	"PERU:  AREQUIPA,CAMANA,MOQUEGUA,TAMBO"	-16.5	-72	160	383	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	383	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA
6033	"Tsu"	1787	3	28	17	30	NA	NA	NA	8.3	8.3	NA	NA	NA	NA	NA	"MEXICO"	""	"MEXICO:  SAN MARCOS, OAXACA"	16.5	-98.5	150	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	NA	11	1	NA	NA	NA	1	NA	3	NA	3	NA	NA
5925	"Tsu"	1787	4	3	15	30	NA	NA	NA	7.3	7.3	NA	NA	NA	NA	NA	"MEXICO"	""	"MEXICO:  SAN MARCOS, OAXACA"	15.5	-97	150	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
6029	"Tsu"	1787	10	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JAMAICA"	""	"JAMAICA: MONTEGO BAY"	18.47	-77.92	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5926	"Tsu"	1788	7	21	NA	NA	NA	NA	NA	8	8	NA	NA	NA	NA	7	"USA"	"AK"	"ALASKA PENINSULA: UNGA ISLAND"	57	-153	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	1	NA	1	NA	NA
5927	"Tsu"	1788	8	6	NA	NA	NA	NA	NA	8	8	NA	NA	NA	NA	NA	"USA"	"AK"	"ALASKA PENINSULA"	55	-161	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1504	"Tsu"	1790	10	9	1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	"ALGERIA"	""	"ALGERIA:  ORAN; SPAIN:  CARTAGENA, SANTA FE"	35.7	-0.6	15	3000	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA	3000	4	NA	NA	NA	NA	NA	3	NA	3	NA	NA
5929	"Tsu"	1791	4	14	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RUSSIA"	""	"RUSSIA:  KAMCHATKA"	56	163	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5930	"Tsu"	1791	4	15	NA	NA	NA	20	NA	6.8	6.8	NA	NA	NA	NA	9	"RUSSIA"	""	"RUSSIA:  KAMCHATKA"	56	163	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5931	"Tsu"	1791	9	13	NA	NA	NA	NA	NA	6.5	6.5	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  OSAKA BAY"	34.5	135.4	30	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
7506	"Tsu"	1791	11	2	21	NA	NA	NA	NA	7	7	NA	NA	NA	NA	10	"GREECE"	""	"GREECE:  ZANTE, GASTUNI"	35.8	21	130	50	1	NA	NA	80	2	NA	3	NA	3	NA	NA	50	1	NA	NA	80	2	NA	3	NA	3	NA	NA
1515	"Tsu"	1792	5	21	NA	NA	NA	NA	NA	6.4	6.4	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  KYUSYU ISLAND"	32.8	130.3	30	NA	NA	NA	NA	NA	2	NA	2	NA	2	NA	NA	15030	4	NA	NA	707	3	NA	4	6200	4	NA	NA
5932	"Tsu"	1792	6	13	NA	NA	NA	NA	NA	NA	6.9	NA	NA	NA	6.9	NA	"JAPAN"	""	"JAPAN:  W. HOKKAIDO ISLAND"	43.5	140.6	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
1516	"Tsu"	1792	8	9	NA	NA	NA	NA	NA	6.8	6.8	NA	NA	NA	NA	9	"TAIWAN"	""	"TAIWAN:  JIAYI, TAINAN"	23.6	120.5	30	252	3	NA	NA	432	3	NA	3	14889	4	NA	NA	252	3	NA	NA	432	3	NA	3	14889	4	NA	NA
1517	"Tsu"	1792	8	22	18	NA	NA	40	NA	NA	8.4	NA	NA	NA	8.4	11	"RUSSIA"	""	"RUSSIA:  NEAR KAMCHATKA"	54	162	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7057	"Tsu"	1792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	"USA"	"AK"	"ALASKA:  KODIAK ISLAND"	57	-152	150	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
1520	"Tsu"	1793	2	8	3	NA	NA	NA	NA	6.9	6.9	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:   AOMORI"	40.85	139.95	30	12	1	NA	NA	NA	NA	NA	2	164	3	NA	NA	12	1	NA	NA	NA	NA	NA	2	164	3	NA	NA
1521	"Tsu"	1793	2	17	NA	NA	NA	NA	NA	8.3	8.3	NA	NA	NA	NA	NA	"JAPAN"	""	"JAPAN:  SANRIKU,RIKUZEN,RIKUCHU"	38.5	144	30	25	1	NA	NA	NA	NA	NA	3	1060	4	NA	NA	745	3	NA	NA	NA	NA	NA	3	1160	4	NA	NA
1534	"Tsu"	1796	11	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	"PHILIPPINES"	""	"PHILIPPINES:   LUZON:  PANGASINAN, BAGUIO, ZAMBALES"	16	119.5	170	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA
5933	"Tsu"	1797	2	10	NA	NA	NA	NA	NA	8	8	NA	NA	NA	NA	NA	"INDONESIA"	""	"SW. SUMATRA"	0.001	99	170	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	300	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA
5934	"Tsu"	1798	2	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COSTA RICA"	""	"COSTA RICA: MATINA"	10.2	-82.9	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
